,date,etf,valid,open,high,low,close,volume
0,2020-05-07,ACWI,ok,68.09,68.525,67.945,68.13,3227287
1,2020-05-08,ACWI,ok,68.94,69.34,68.73,69.26,3530864
2,2020-05-11,ACWI,ok,68.76,69.57,68.71,69.33,9407041
3,2020-05-12,ACWI,ok,69.62,69.7,68.16,68.16,3864592
4,2020-05-13,ACWI,ok,68.27,68.45,66.77,67.26,13590367
5,2020-05-14,ACWI,ok,66.37,67.68,65.77,67.68,3847887
6,2020-05-15,ACWI,ok,67.09,67.74,66.905,67.74,2617143
7,2020-05-18,ACWI,ok,69.31,70.33,69.31,70.04,2832861
8,2020-05-19,ACWI,ok,69.8,70.17,69.29,69.33,3166400
9,2020-05-20,ACWI,ok,70.32,70.76,70.23,70.49,5505339
10,2020-05-21,ACWI,ok,70.28,70.54,69.595,69.87,6890372
11,2020-05-22,ACWI,ok,69.59,69.79,69.28,69.79,4058379
12,2020-05-26,ACWI,ok,71.52,71.62,70.9712,71.1,6089375
13,2020-05-27,ACWI,ok,71.73,71.99,70.67,71.99,6271735
14,2020-05-28,ACWI,ok,72.35,72.875,71.89,72.05,4204615
15,2020-05-29,ACWI,ok,71.89,72.36,71.25,72.22,7392649
16,2020-06-01,ACWI,ok,72.46,73.16,72.32,73.14,2544956
17,2020-06-02,ACWI,ok,73.46,73.94,73.3,73.94,4202876
18,2020-06-03,ACWI,ok,74.63,75.37,74.525,75.15,4526072
19,2020-06-04,ACWI,ok,74.79,75.21,74.37,74.74,4406352
20,2020-06-05,ACWI,ok,76.17,76.95,76.17,76.45,4274691
21,2020-06-08,ACWI,ok,76.76,77.38,76.44,77.34,1745688
22,2020-06-09,ACWI,ok,76.42,76.92,76.27,76.66,5235657
23,2020-06-10,ACWI,ok,76.81,77.11,76.2,76.45,3593784
24,2020-06-11,ACWI,ok,74.54,74.66,72.04,72.15,3414819
25,2020-06-12,ACWI,ok,73.96,74.22,72.01,73.19,4234381
26,2020-06-15,ACWI,ok,71.11,73.32,70.87,73.07,3099936
27,2020-06-16,ACWI,ok,74.94,74.94,73.2,74.28,2931732
28,2020-06-17,ACWI,ok,74.64,74.72,74.05,74.24,3125237
29,2020-06-18,ACWI,ok,73.86,74.315,73.71,74.15,884298
30,2020-06-19,ACWI,ok,75.03,75.03,73.57,73.73,1516592
31,2020-06-22,ACWI,ok,73.95,74.53,73.65,74.47,1953245
32,2020-06-23,ACWI,ok,75.16,75.35,74.74,74.82,1623684
33,2020-06-24,ACWI,ok,74.24,74.39,72.64,73.06,2167712
34,2020-06-25,ACWI,ok,72.96,73.87,72.51,73.84,1579065
35,2020-06-26,ACWI,ok,73.64,73.65,72.29,72.41,1669519
36,2020-06-29,ACWI,ok,72.69,73.24,72.17,73.24,1806685
37,2020-06-30,ACWI,ok,73.0,74.08,72.94,73.72,2966836
38,2020-07-01,ACWI,ok,73.95,74.505,73.89,74.27,2135483
39,2020-07-02,ACWI,ok,75.26,75.625,74.815,74.96,1674622
40,2020-07-06,ACWI,ok,76.21,76.44,76.0,76.4,2516926
41,2020-07-07,ACWI,ok,75.86,76.32,75.46,75.51,2450205
42,2020-07-08,ACWI,ok,75.73,76.31,75.48,76.29,1859797
43,2020-07-09,ACWI,ok,76.49,76.51,75.07,75.82,7607433
44,2020-07-10,ACWI,ok,75.86,76.47,75.5,76.43,4924661
45,2020-07-13,ACWI,ok,76.98,77.51,75.65,75.76,3757404
46,2020-07-14,ACWI,ok,75.53,76.81,75.31,76.7,2962225
47,2020-07-15,ACWI,ok,77.61,77.775,76.95,77.46,4154737
48,2020-07-16,ACWI,ok,76.8,77.08,76.67,76.99,4876691
49,2020-07-17,ACWI,ok,77.28,77.38,76.84,77.26,4161902
50,2020-07-20,ACWI,ok,77.33,78.07,77.13,77.94,2587600
51,2020-07-21,ACWI,ok,78.56,78.65,78.04,78.18,2770409
52,2020-07-22,ACWI,ok,78.09,78.56,78.015,78.43,2292699
53,2020-07-23,ACWI,ok,78.33,78.6,77.33,77.62,1694242
54,2020-07-24,ACWI,ok,77.06,77.39,76.795,77.16,1128736
55,2020-07-27,ACWI,ok,77.57,78.05,77.42,78.02,1298489
56,2020-07-28,ACWI,ok,77.73,78.015,77.42,77.49,1605634
57,2020-07-29,ACWI,ok,77.83,78.58,77.81,78.41,911478
58,2020-07-30,ACWI,ok,77.34,77.97,76.8,77.9,1933100
59,2020-07-31,ACWI,ok,78.02,78.03,76.75,77.67,4089181
60,2020-08-03,ACWI,ok,78.19,78.6,78.07,78.49,5849301
61,2020-08-04,ACWI,ok,78.29,78.91,78.29,78.9,1868785
62,2020-08-05,ACWI,ok,79.42,79.63,79.28,79.44,2652831
63,2020-08-06,ACWI,ok,79.21,79.76,79.065,79.72,4961393
64,2020-08-07,ACWI,ok,79.19,79.455,78.87,79.36,4791083
65,2020-08-10,ACWI,ok,79.49,79.62,79.01,79.56,1113668
